Identifiant de document,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain
,,,,,,,000001,28/02/2023,Vente en l'état futur d'achèvement,"318000,00",11,,RUE,9615,VALLIERE,93000,BOBIGNY,93,8,,AP,103,,29,,,,,,,,,,1,,,,,,,,
,,,,,,,000001,28/02/2023,Vente,"197500,00",44,,AV,4730,JEAN JAURES,93000,BOBIGNY,93,8,,Z,53,,17,"52,23",18,,,,,,,,2,3,Dépendance,,0,0,,,
,,,,,,,000001,28/02/2023,Vente,"197500,00",44,,AV,4730,JEAN JAURES,93000,BOBIGNY,93,8,,Z,53,,17,"52,23",18,,,,,,,,2,2,Appartement,,53,3,,,
,,,,,,,000001,01/03/2023,Vente,"278200,00",10,,RUE,0655,BOIS D AMOUR,93000,BOBIGNY,93,8,,AY,82,,,,,,,,,,,,0,1,Maison,,80,4,S,,272
,,,,,,,000001,01/03/2023,Vente,"278200,00",10,,RUE,0655,BOIS D AMOUR,93000,BOBIGNY,93,8,,AY,82,,,,,,,,,,,,0,3,Dépendance,,0,0,S,,272
,,,,,,,000001,22/02/2023,Vente en l'état futur d'achèvement,"190097,00",,,RUE,1431,CARNOT,93000,BOBIGNY,93,8,,AF,564,,36182,,,,,,,,,,1,,,,,,,,
,,,,,,,000001,28/02/2023,Vente en l'état futur d'achèvement,"304191,66",147,,RUE,7133,DE PARIS,93000,BOBIGNY,93,8,,AD,131,,223,,,,,,,,,,1,,,,,,,,
,,,,,,,000001,28/02/2023,Vente en l'état futur d'achèvement,"304191,66",147,,RUE,7133,DE PARIS,93000,BOBIGNY,93,8,,AD,131,,19,,,,,,,,,,1,,,,,,,,
,,,,,,,000001,01/03/2023,Vente,"210000,00",68,,RUE,5137,LEO LAGRANGE,93000,BOBIGNY,93,8,,AQ,68,,2,,4,,5,,,,,,3,2,Appartement,,50,4,,,
,,,,,,,000001,09/03/2023,Vente en l'état futur d'achèvement,"212000,00",11,,RUE,9615,VALLIERE,93000,BOBIGNY,93,8,,AP,103,,133,,,,,,,,,,1,,,,,,,,
,,,,,,,000001,09/03/2023,Vente en l'état futur d'achèvement,"212000,00",11,,RUE,9615,VALLIERE,93000,BOBIGNY,93,8,,AP,103,,65,,,,,,,,,,1,,,,,,,,
,,,,,,,000001,17/02/2023,Vente en l'état futur d'achèvement,"198000,00",19,,RUE,5137,LEO LAGRANGE,93000,BOBIGNY,93,8,,AP,92,,159,,,,,,,,,,1,,,,,,,,
,,,,,,,000001,14/03/2023,Vente,"315000,00",45,,RUE,0655,BOIS D AMOUR,93000,BOBIGNY,93,8,,AS,51,,,,,,,,,,,,0,3,Dépendance,,0,0,S,,765
,,,,,,,000001,14/03/2023,Vente,"315000,00",45,,RUE,0655,BOIS D AMOUR,93000,BOBIGNY,93,8,,AS,51,,,,,,,,,,,,0,1,Maison,,153,6,S,,765
,,,,,,,000001,14/03/2023,Vente,"315000,00",45,,RUE,0655,BOIS D AMOUR,93000,BOBIGNY,93,8,,AS,51,,,,,,,,,,,,0,3,Dépendance,,0,0,S,,765
,,,,,,,000001,14/03/2023,Vente,"177000,00",2,,RUE,4140,DE LA GARE,93000,BOBIGNY,93,8,,S,170,,18,,3,"66,59",,,,,,,2,3,Dépendance,,0,0,,,
,,,,,,,000001,14/03/2023,Vente,"177000,00",2,,RUE,4140,DE LA GARE,93000,BOBIGNY,93,8,,S,170,,305,,,,,,,,,,1,3,Dépendance,,0,0,,,
,,,,,,,000001,14/03/2023,Vente,"177000,00",2,,RUE,4140,DE LA GARE,93000,BOBIGNY,93,8,,S,170,,18,,3,"66,59",,,,,,,2,2,Appartement,,66,4,,,
,,,,,,,000001,14/03/2023,Vente,"177000,00",2,,RUE,4140,DE LA GARE,93000,BOBIGNY,93,8,,S,170,,403,,,,,,,,,,1,3,Dépendance,,0,0,,,
,,,,,,,000001,02/03/2023,Vente,"196800,00",225,,CHE,4180,DE GROSLAY,93000,BOBIGNY,93,8,,BF,222,,11,"72,71",22,,,,,,,,2,2,Appartement,,76,4,,,
,,,,,,,000001,02/03/2023,Vente,"196800,00",225,,CHE,4180,DE GROSLAY,93000,BOBIGNY,93,8,,BF,222,,71,,,,,,,,,,1,3,Dépendance,,0,0,,,
,,,,,,,000001,28/02/2023,Vente en l'état futur d'achèvement,"141777,00",,,RUE,1431,CARNOT,93000,BOBIGNY,93,8,,AF,564,,36050,,,,,,,,,,1,,,,,,,,
,,,,,,,000001,10/03/2023,Vente,"75000,00",28,,AV,5194,LOUIS ARAGON,93000,BOBIGNY,93,8,,AJ,28,,18,"21,95",7,,,,,,,,2,2,Appartement,,22,2,,,
,,,,,,,000001,10/03/2023,Vente,"75000,00",28,,AV,5194,LOUIS ARAGON,93000,BOBIGNY,93,8,,AJ,28,,18,"21,95",7,,,,,,,,2,3,Dépendance,,0,0,,,
,,,,,,,000001,01/03/2023,Vente en l'état futur d'achèvement,"12000,00",19,,RUE,5137,LEO LAGRANGE,93000,BOBIGNY,93,8,,AP,92,,287,,,,,,,,,,1,,,,,,,,
,,,,,,,000001,28/02/2023,Vente,"145000,00",37,,RUE,0055,D ANJOU,93000,BOBIGNY,93,8,,AL,150,,4,"42,71",,,,,,,,,1,2,Appartement,,43,2,,,
,,,,,,,000001,13/03/2023,Vente,"190000,00",225,,AV,4730,JEAN JAURES,93000,BOBIGNY,93,8,,U,69,,178,"66,65",90,,,,,,,,2,3,Dépendance,,0,0,,,
,,,,,,,000001,13/03/2023,Vente,"190000,00",13,,RUE,3530,DE LA FERME,93000,BOBIGNY,93,8,,U,69,,5,,,,,,,,,,1,3,Dépendance,,0,0,,,
,,,,,,,000001,13/03/2023,Vente,"190000,00",225,,AV,4730,JEAN JAURES,93000,BOBIGNY,93,8,,U,69,,178,"66,65",90,,,,,,,,2,2,Appartement,,66,3,,,
,,,,,,,000001,28/02/2023,Vente,"299000,00",40,,RUE,6144,MAURICE LEFEBVRE,93000,BOBIGNY,93,8,,V,203,,10,"57,01",,,,,,,,,1,1,Maison,,58,3,,,
,,,,,,,000001,20/03/2023,Vente en l'état futur d'achèvement,"309000,00",147,,RUE,7133,DE PARIS,93000,BOBIGNY,93,8,,AD,131,,31,,,,,,,,,,1,,,,,,,,
,,,,,,,000001,20/03/2023,Vente en l'état futur d'achèvement,"309000,00",147,,RUE,7133,DE PARIS,93000,BOBIGNY,93,8,,AD,131,,296,,,,,,,,,,1,,,,,,,,
,,,,,,,000001,22/03/2023,Vente,"560000,00",37,,RUE,6270,DE MOSCOU,93000,BOBIGNY,93,8,,BC,12,,,,,,,,,,,,0,1,Maison,,96,5,S,,319
,,,,,,,000001,22/03/2023,Vente,"800000,00",7,,RUE,9620,DE VARSOVIE,93000,BOBIGNY,93,8,,BC,7,,,,,,,,,,,,0,1,Maison,,116,5,S,,399
,,,,,,,000001,22/03/2023,Vente,"800000,00",7,,RUE,9620,DE VARSOVIE,93000,BOBIGNY,93,8,,BC,7,,,,,,,,,,,,0,3,Dépendance,,0,0,S,,399
,,,,,,,000001,22/03/2023,Vente,"750000,00",11,,RUE,9620,DE VARSOVIE,93000,BOBIGNY,93,8,,BC,9,,,,,,,,,,,,0,1,Maison,,89,3,S,,402
,,,,,,,000001,22/03/2023,Vente,"565000,00",35,,RUE,6270,DE MOSCOU,93000,BOBIGNY,93,8,,BC,11,,,,,,,,,,,,0,1,Maison,,64,3,S,,318
,,,,,,,000001,22/03/2023,Vente,"524800,00",9,,RUE,9620,DE VARSOVIE,93000,BOBIGNY,93,8,,BC,8,,1,"92,00",,,,,,,,,1,3,Dépendance,,0,0,,,
,,,,,,,000001,22/03/2023,Vente,"524800,00",9,,RUE,9620,DE VARSOVIE,93000,BOBIGNY,93,8,,BC,8,,1,"92,00",,,,,,,,,1,1,Maison,,50,3,,,
,,,,,,,000001,22/03/2023,Vente,"300000,00",13,,RUE,9620,DE VARSOVIE,93000,BOBIGNY,93,8,,BC,92,,,,,,,,,,,,0,3,Dépendance,,0,0,S,,190
,,,,,,,000001,22/03/2023,Vente,"300000,00",13,,RUE,9620,DE VARSOVIE,93000,BOBIGNY,93,8,,BC,92,,,,,,,,,,,,0,1,Maison,,73,5,S,,190
,,,,,,,000001,22/03/2023,Vente,"275200,00",9,,RUE,9620,DE VARSOVIE,93000,BOBIGNY,93,8,,BC,8,,2,,,,,,,,,,1,1,Maison,,32,2,,,
,,,,,,,000001,22/03/2023,Vente,"300000,00",33,,RUE,6270,DE MOSCOU,93000,BOBIGNY,93,8,,BC,84,,,,,,,,,,,,0,1,Maison,,33,2,S,,102
,,,,,,,000001,22/03/2023,Vente,"300000,00",33,,RUE,6270,DE MOSCOU,93000,BOBIGNY,93,8,,BC,84,,,,,,,,,,,,0,3,Dépendance,,0,0,S,,102
,,,,,,,000001,22/03/2023,Vente,"300000,00",33,,RUE,6270,DE MOSCOU,93000,BOBIGNY,93,8,,BC,84,,,,,,,,,,,,0,3,Dépendance,,0,0,S,,102
,,,,,,,000001,22/03/2023,Vente,"300000,00",33,,RUE,6270,DE MOSCOU,93000,BOBIGNY,93,8,,BC,84,,,,,,,,,,,,0,3,Dépendance,,0,0,S,,102
,,,,,,,000001,22/03/2023,Vente,"300000,00",15,,RUE,9620,DE VARSOVIE,93000,BOBIGNY,93,8,,BC,93,,,,,,,,,,,,0,,,,,,S,,26
,,,,,,,000001,22/03/2023,Vente,"853000,00",5,,RUE,9620,DE VARSOVIE,93000,BOBIGNY,93,8,,BC,106,,1,,,,,,,,,,1,3,Dépendance,,0,0,,,
,,,,,,,000001,22/03/2023,Vente,"853000,00",5,,RUE,9620,DE VARSOVIE,93000,BOBIGNY,93,8,,BC,106,,1,,,,,,,,,,1,1,Maison,,62,3,,,
